"Quarter","Region","Trust_type","Trust_subtype","Trust_code","Trust_name","Domain","Sub-domain","Metric_ID","Metric_description","Reporting_date","Units","Value","Median_value","Lower_quartile","Upper_quartile","Rank"
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Access to services domain segment","OF4100","Access to services domain segment","Q2 2025/26","segment",2,NA,NA,NA,NA
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety domain segment","OF4102","Patient safety domain segment","Q2 2025/26","segment",3,NA,NA,NA,NA
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance and productivity domain segment","OF4103","Finance and productivity domain segment","Q2 2025/26","segment",2,NA,NA,NA,NA
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","People and workforce domain segment","OF4104","People and workforce domain segment","Q2 2025/26","segment",2,NA,NA,NA,NA
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effectiveness and experience domain segment","OF4105","Effectiveness and experience domain segment","Q2 2025/26","segment",2,NA,NA,NA,NA
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5000","Adjusted segment","Q2 2025/26","segment",2,NA,NA,NA,18
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5002","Average metric score","Q2 2025/26","score",2.15,NA,NA,NA,22
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5003","Unadjusted segment","Q2 2025/26","segment",2,NA,NA,NA,NA
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5004","Financial override","Q2 2025/26","flag",0,NA,NA,NA,NA
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5005","Final segment score override","Q2 2025/26","segment",2,NA,NA,NA,NA
"Q2 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Summary","Summary","OF5007","Is the organisation in the Recovery Support Programme?","Q2 2025/26","flag",0,NA,NA,NA,NA
"Q3 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Elective care","OF0005","Percentage of patients waiting over 52 weeks for community services","Dec-25","%",0,0.25,0,5.72,1
