"REPORTING_PERIOD_START","REPORTING_PERIOD_END","STATUS","BREAKDOWN","PRIMARY_LEVEL","PRIMARY_LEVEL_DESCRIPTION","SECONDARY_LEVEL","SECONDARY_LEVEL_DESCRIPTION","MEASURE_ID","MEASURE_NAME","MEASURE_VALUE"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","10","Instant messaging (Synchronous)","MHS61b","First attended contacts for referrals open in the RP, aged 0 to 18, by consultation medium","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","11","Video consultation","MHS30a","Attended contacts with perinatal MH team in Reporting Period","35"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","11","Video consultation","MHS30e","Attended contacts in the RP, 0 to 18, by consultation medium","760"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","11","Video consultation","MHS30f","Attended contacts in the RP with community mental health services for adult and older adults with severe mental illness","1015"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","11","Video consultation","MHS30h","Attended contacts in the RP by consultation medium","1445"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","11","Video consultation","MHS61b","First attended contacts for referrals open in the RP, aged 0 to 18, by consultation medium","155"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","12","Message Board (Asynchronous)","MHS30a","Attended contacts with perinatal MH team in Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","12","Message Board (Asynchronous)","MHS30e","Attended contacts in the RP, 0 to 18, by consultation medium","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","12","Message Board (Asynchronous)","MHS30f","Attended contacts in the RP with community mental health services for adult and older adults with severe mental illness","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","12","Message Board (Asynchronous)","MHS30h","Attended contacts in the RP by consultation medium","*"
