"REPORTING_PERIOD_START","REPORTING_PERIOD_END","STATUS","BREAKDOWN","PRIMARY_LEVEL","PRIMARY_LEVEL_DESCRIPTION","SECONDARY_LEVEL","SECONDARY_LEVEL_DESCRIPTION","MEASURE_ID","MEASURE_NAME","MEASURE_VALUE"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","J","Pakistani","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","K","Bangladeshi","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","K","Bangladeshi","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","K","Bangladeshi","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","K","Bangladeshi","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","L","Any Other Asian background","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","L","Any Other Asian background","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","L","Any Other Asian background","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","L","Any Other Asian background","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M","Caribbean","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M","Caribbean","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M","Caribbean","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M","Caribbean","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","N","African","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","N","African","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","40"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","N","African","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","N","African","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","P","Any Other Black background","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","P","Any Other Black background","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","15"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","P","Any Other Black background","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","P","Any Other Black background","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","R","Chinese","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","R","Chinese","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","R","Chinese","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","R","Chinese","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","*"
