"REPORTING_PERIOD_START","REPORTING_PERIOD_END","ORG_CODE","ORG_NAME","ORG_LEVEL","DIMENSION","COUNT_OF","MEASURE","MEASURE_DESC","MEASURE_2","MEASURE_2_DESC","MEASURE_VALUE","MEASURE_VALUE_0_18","MEASURE_VALUE_19_64","MEASURE_VALUE_65_PLUS"
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_PatientWithReferrals","PatientWithReferral","40 to 44","","2","Female",145,0,145,0
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_PatientWithReferrals","PatientWithReferral","45 to 49","","1","Male",85,0,85,0
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_PatientWithReferrals","PatientWithReferral","45 to 49","","2","Female",170,0,170,0
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_PatientWithReferrals","PatientWithReferral","5 to 9","","1","Male",245,245,0,0
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_PatientWithReferrals","PatientWithReferral","5 to 9","","2","Female",205,205,0,0
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_PatientWithReferrals","PatientWithReferral","50 to 54","","1","Male",140,0,140,0
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_PatientWithReferrals","PatientWithReferral","50 to 54","","2","Female",200,0,200,0
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_PatientWithReferrals","PatientWithReferral","55 to 59","","1","Male",165,0,165,0
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_PatientWithReferrals","PatientWithReferral","55 to 59","","2","Female",280,0,280,0
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_PatientWithReferrals","PatientWithReferral","60 to 64","","1","Male",220,0,220,0
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_PatientWithReferrals","PatientWithReferral","60 to 64","","2","Female",280,0,280,0
