"REPORTING_PERIOD_START","REPORTING_PERIOD_END","ORG_CODE","ORG_NAME","ORG_LEVEL","DIMENSION","COUNT_OF","MEASURE","MEASURE_DESC","MEASURE_2","MEASURE_2_DESC","MEASURE_VALUE","MEASURE_VALUE_0_18","MEASURE_VALUE_19_64","MEASURE_VALUE_65_PLUS"
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","100 to 104","","2","Female",30,0,0,30
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","105 to 109","","2","Female",5,0,0,5
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","15 to 19","","1","Male",180,135,45,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","15 to 19","","2","Female",235,150,85,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","15 to 19","","9","Indeterminate (Unable to be classified as either male or female)",5,5,0,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","20 to 24","","1","Male",40,0,40,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","20 to 24","","2","Female",140,0,140,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","25 to 29","","1","Male",45,0,45,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","25 to 29","","2","Female",185,0,185,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","30 to 34","","1","Male",60,0,60,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","30 to 34","","2","Female",280,0,280,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","35 to 39","","1","Male",70,0,70,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","35 to 39","","2","Female",215,0,215,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","40 to 44","","1","Male",85,0,85,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","40 to 44","","2","Female",150,0,150,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","45 to 49","","1","Male",95,0,95,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","45 to 49","","2","Female",165,0,165,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","5 to 9","","1","Male",200,200,0,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","5 to 9","","2","Female",180,180,0,0
