Organisation_Code,Sector,Number_Of_Beds,Effective_Snapshot_Date
RFR,Mental Illness,0,31/03/2019
RGD,Mental Illness,387,31/03/2019
RHQ,Mental Illness,0,31/03/2019
RJL,Mental Illness,0,31/03/2019
RJN,Mental Illness,0,31/03/2019
RJR,Mental Illness,0,31/03/2019
RE9,Mental Illness,0,31/03/2019
REM,Mental Illness,0,31/03/2019
REN,Mental Illness,0,31/03/2019
REP,Mental Illness,0,31/03/2019
RET,Mental Illness,0,31/03/2019
RFF,Mental Illness,0,31/03/2019
RBT,Mental Illness,0,31/03/2019
RBV,Mental Illness,0,31/03/2019
RCB,Mental Illness,0,31/03/2019
RCD,Mental Illness,0,31/03/2019
RCF,Mental Illness,0,31/03/2019
RCU,Mental Illness,24.722222,31/03/2019
R0A,Mental Illness,12,31/03/2019
RAE,Mental Illness,0,31/03/2019
RBL,Mental Illness,0,31/03/2019
RBN,Mental Illness,0,31/03/2019
RBQ,Mental Illness,0,31/03/2019
RBS,Mental Illness,7,31/03/2019
RXC,Maternity,30,31/03/2019
RXH,Maternity,71,31/03/2019
RXQ,Maternity,57,31/03/2019
RXX,Maternity,0,31/03/2019
RXY,Maternity,0,31/03/2019
RYR,Maternity,60,31/03/2019
RTP,Maternity,41.044444,31/03/2019
RVV,Maternity,0,31/03/2019
RW1,Maternity,0,31/03/2019
RWF,Maternity,47,31/03/2019
RWX,Maternity,0,31/03/2019
RX2,Maternity,0,31/03/2019
RN7,Maternity,36,31/03/2019
RNU,Maternity,0,31/03/2019
RPA,Maternity,46,31/03/2019
RPC,Maternity,0,31/03/2019
RTH,Maternity,86,31/03/2019
RTK,Maternity,53.022222,31/03/2019
RDR,Maternity,0,31/03/2019
RDU,Maternity,77.5,31/03/2019
RHM,Maternity,65,31/03/2019
RHU,Maternity,46.477778,31/03/2019
RHW,Maternity,44.422222,31/03/2019
RN5,Maternity,75.022222,31/03/2019
RVJ,Maternity,55,31/03/2019
RVN,Maternity,0,31/03/2019
RWV,Maternity,0,31/03/2019
